Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 0, 1,     230.94,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 4,    1.10479,  104.5,         0
"B310", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B2018", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B2390", 0, 1,    195.053,   -1.4,         0, 2,    201.692, -120.7,         0, 3,    194.152,  118.4,         0, 4,    4.13499,   59.9,         0
"B1667", 0, 1,    192.257,   -1.9,         0, 2,    199.433, -121.0,         0, 3,    191.576,  118.0,         0, 4,    3.95739,   45.2,         0
"B1759", 0, 1,    218.359,   -1.4,         0, 2,    216.988, -122.9,         0, 3,    225.479,  119.3,         0, 4,    6.49821, -113.8,         0
"B2837", 0, 1,    218.359,   -1.4,         0, 2,    216.988, -122.9,         0, 3,    225.479,  119.3,         0, 4,    6.49821, -113.8,         0
"B1164", 0, 1,    217.509,   -1.3,         0, 2,    214.548, -123.5,         0, 3,    225.719,  119.3,         0, 4,    8.77182, -111.2,         0
"B58", 0, 1,    217.494,   -1.3,         0, 2,    213.859, -123.5,         0, 3,    225.734,  119.3,         0, 4,    9.42371, -111.9,         0
"B695", 0, 1,    218.352,   -1.4,         0, 2,    216.985, -122.9,         0, 3,    225.236,  119.3,         0, 4,    6.35447, -115.7,         0
"B1369", 0, 1,    220.507,   -1.3,         0, 2,    222.101, -121.8,         0, 3,    225.932,  119.3,         0, 4,    2.37928, -108.7,         0
"B3021", 0, 1,    219.742,   -1.4,         0, 2,    220.465, -122.2,         0, 3,    225.683,  119.3,         0, 4,    3.59664, -113.1,         0
"B2510", 0, 1,    193.067,   -1.8,         0, 2,     199.94, -120.7,         0, 3,    191.324,  117.9,         0, 4,    4.29865,   58.7,         0
"B314", 0, 1,    193.064,   -1.8,         0, 2,    200.242, -120.7,         0, 3,    191.327,  117.9,         0, 4,    4.60823,   59.1,         0
"B1790", 0, 1,    197.872,   -3.7,         0, 2,    217.123, -121.4,         0, 3,    212.027,  119.0,         0, 4,    8.59012,  -17.0,         0
"B1053", 0, 1,    197.874,   -3.7,         0, 2,      217.4, -121.4,         0, 3,    212.031,  119.0,         0, 4,    8.66462,  -15.1,         0
"B2316", 0, 1,    195.897,   -1.2,         0, 2,    202.318, -120.7,         0, 3,    195.051,  118.6,         0, 4,    4.10771,   62.6,         0
"B2757", 0, 1,    195.897,   -1.2,         0, 2,    202.318, -120.7,         0, 3,    195.051,  118.6,         0, 4,    4.10771,   62.6,         0
"B1224", 0, 1,    195.897,   -1.2,         0, 2,    202.318, -120.7,         0, 3,    195.051,  118.6,         0, 4,    4.10771,   62.6,         0
"B926", 0, 1,    217.299,   -1.3,         0, 2,    214.312, -123.6,         0, 3,    225.697,  119.3,         0, 4,    8.89103, -111.4,         0
"B3111", 0, 1,    217.939,   -1.3,         0, 2,     215.48, -123.3,         0, 3,    225.655,  119.3,         0, 4,    7.97875, -111.6,         0
"B1956", 0, 1,    217.939,   -1.3,         0, 2,     215.48, -123.3,         0, 3,    225.655,  119.3,         0, 4,    7.97875, -111.6,         0
"B1854", 0, 1,    192.257,   -1.9,         0, 2,    199.433, -121.0,         0, 3,    191.576,  118.0,         0, 4,    3.95739,   45.2,         0
"B2764", 0, 1,    190.699,   -2.2,         0, 2,    198.226, -121.1,         0, 3,     190.22,  117.8,         0, 4,    4.00533,   36.0,         0
"B1130", 0, 1,    190.926,   -2.2,         0, 2,    198.222, -121.1,         0, 3,    190.219,  117.8,         0, 4,    3.82412,   38.0,         0
"B1407", 0, 1,    220.251,   -1.4,         0, 2,    222.105, -121.8,         0, 3,    225.936,  119.3,         0, 4,    2.29129, -102.9,         0
"B2547", 0, 1,    221.716,   -1.3,         0, 2,    224.303, -121.4,         0, 3,    226.214,  119.3,         0, 4,    1.01031,  -90.6,         0
"B1261", 0, 1,    221.975,   -1.3,         0, 2,    224.299, -121.4,         0, 3,     226.21,  119.3,         0, 4,    1.06118, -104.6,         0
"B1464", 0, 1,    202.719,   -2.5,         0, 2,    218.449, -121.2,         0, 3,    214.523,  119.1,         0, 4,    6.79531,   -3.7,         0
"B2799", 0, 1,    202.719,   -2.5,         0, 2,    218.449, -121.2,         0, 3,    214.523,  119.1,         0, 4,    6.79531,   -3.7,         0
"B810", 0, 1,    217.503,   -1.3,         0, 2,    214.256, -123.5,         0, 3,    225.725,  119.3,         0, 4,    9.04916, -111.5,         0
"B3112", 0, 1,    193.939,   -1.6,         0, 2,     200.85, -120.7,         0, 3,    192.371,  118.1,         0, 4,    4.39594,   62.0,         0
"B1665", 0, 1,    193.564,   -1.7,         0, 2,    200.481, -120.7,         0, 3,    191.906,  118.0,         0, 4,    4.37316,   59.7,         0
"B2011", 0, 1,    194.338,   -1.5,         0, 2,    201.267, -120.7,         0, 3,    193.156,  118.2,         0, 4,    4.40113,   60.5,         0
"B938", 0, 1,      197.6,   -3.7,         0, 2,    217.477, -121.4,         0, 3,    211.873,  119.0,         0, 4,    8.70692,  -14.2,         0
"B2955", 0, 1,    197.518,   -3.7,         0, 2,      217.5, -121.4,         0, 3,     211.75,  119.0,         0, 4,    8.63652,  -13.9,         0
"B1085", 0, 1,    202.419,   -2.6,         0, 2,    218.457, -121.2,         0, 3,    214.523,  119.1,         0, 4,    7.08414,   -3.6,         0
"B1666", 0, 1,    193.567,   -1.7,         0, 2,    200.189, -120.8,         0, 3,    191.903,  118.0,         0, 4,    4.07453,   59.3,         0
"B807", 0, 1,     200.33,   -2.6,         0, 2,    218.523, -121.1,         0, 3,    213.625,  119.0,         0, 4,    8.53491,    1.7,         0
"B2308", 0, 1,    201.724,   -2.6,         0, 2,    218.481, -121.1,         0, 3,    213.632,  119.0,         0, 4,     7.1958,    2.0,         0
"B2430", 0, 1,    227.694,   -0.6,         0, 2,    227.972, -120.5,         0, 3,    227.187,  119.3,         0, 4,    1.21682,  114.5,         0
"B607", 0, 1,    227.433,   -0.7,         0, 2,    227.391, -120.5,         0, 3,    226.343,  119.1,         0, 4,    1.63809,  127.9,         0
"B951", 0, 1,    188.856,   -2.8,         0, 2,    196.022, -121.5,         0, 3,    187.512,  117.1,         0, 4,    3.00454,   24.0,         0
"B1834", 0, 1,    188.724,   -2.9,         0, 2,    195.894, -121.6,         0, 3,     187.39,  117.1,         0, 4,    3.00646,   22.0,         0
"B1214", 0, 1,    230.036,   -0.2,         0, 2,    230.104, -120.2,         0, 3,    230.093,  119.8,         0, 4,    1.10648,  105.8,         0
"B2077", 0, 1,    230.027,   -0.2,         0, 2,    230.097, -120.2,         0, 3,    230.083,  119.8,         0, 4,    1.10512,  105.8,         0
"B335", 0, 1,    190.034,   -2.4,         0, 2,    196.149, -121.3,         0, 3,    189.191,  117.6,         0, 4,    2.69608,   20.0,         0
"B2195", 0, 1,    190.034,   -2.4,         0, 2,    196.445, -121.2,         0, 3,    189.193,  117.6,         0, 4,    2.92417,   24.0,         0
"B114", 0, 1,    227.187,   -0.7,         0, 2,    226.953, -120.5,         0, 3,    225.633,  119.0,         0, 4,    2.07569,  132.7,         0
"B2209", 0, 1,    191.464,   -1.9,         0, 2,    199.447, -121.0,         0, 3,    191.578,  118.0,         0, 4,    4.55142,   38.2,         0
"B1590", 0, 1,    197.492,   -3.7,         0, 2,    217.509, -121.4,         0, 3,    211.118,  119.0,         0, 4,    8.11737,  -11.5,         0
"B1119", 0, 1,    197.501,   -3.7,         0, 2,    217.506, -121.4,         0, 3,    211.622,  119.0,         0, 4,    8.50773,  -13.8,         0
"B2372", 0, 1,    189.545,   -2.6,         0, 2,    196.759, -121.3,         0, 3,    188.479,  117.4,         0, 4,    3.35647,   29.5,         0
"B337", 0, 1,    189.147,   -2.7,         0, 2,    196.382, -121.4,         0, 3,    187.868,  117.2,         0, 4,     3.1164,   29.0,         0
"B1015", 0, 1,    189.724,   -2.4,         0, 2,    197.284, -121.2,         0, 3,    189.199,  117.6,         0, 4,    3.88753,   30.2,         0
"B2786", 0, 1,    190.032,   -2.4,         0, 2,    197.279, -121.2,         0, 3,    189.198,  117.6,         0, 4,    3.62538,   32.6,         0
"B1630", 0, 1,    189.147,   -2.7,         0, 2,    196.382, -121.4,         0, 3,    187.868,  117.2,         0, 4,     3.1164,   29.0,         0
"B3236", 0, 1,    217.977,   -1.3,         0, 2,    215.711, -123.2,         0, 3,    225.621,  119.3,         0, 4,    7.73033, -112.0,         0
"B941", 0, 1,    188.724,   -2.9,         0, 2,    195.606, -121.6,         0, 3,    187.388,  117.1,         0, 4,    2.78998,   18.0,         0
"B1096", 0, 1,    192.257,   -1.9,         0, 2,    199.433, -121.0,         0, 3,    191.576,  118.0,         0, 4,    3.95739,   45.2,         0
"B1155", 0, 1,    192.257,   -1.9,         0, 2,    199.433, -121.0,         0, 3,    191.576,  118.0,         0, 4,    3.95739,   45.2,         0
"B496", 0, 1,    193.312,   -1.8,         0, 2,    200.346, -120.7,         0, 3,    191.475,  117.9,         0, 4,    4.49665,   61.1,         0
"B2872", 0, 1,    189.546,   -2.6,         0, 2,    196.465, -121.4,         0, 3,    188.476,  117.4,         0, 4,    3.10975,   26.4,         0
"B1362", 0, 1,    191.337,   -1.8,         0, 2,    200.522, -120.7,         0, 3,    191.905,  118.0,         0, 4,    5.81243,   40.3,         0
"B162", 0, 1,    227.694,   -0.6,         0, 2,    227.706, -120.5,         0, 3,    227.187,  119.3,         0, 4,    1.06187,  125.5,         0
"B237", 0, 1,    217.293,   -1.3,         0, 2,    214.017, -123.6,         0, 3,    225.703,  119.3,         0, 4,    9.17087, -111.7,         0
"B2333", 0, 1,    193.938,   -1.6,         0, 2,    200.846, -120.7,         0, 3,    192.033,  118.1,         0, 4,    4.55822,   65.6,         0
"B342", 0, 1,     230.93,    0.0,         0, 2,    230.933, -120.0,         0, 3,    230.932,  120.0,         0, 4,    1.10218,  104.4,         0
"B1556", 0, 1,    230.902,    0.0,         0, 2,    230.917, -120.0,         0, 3,    230.913,  120.0,         0, 4,    1.09608,  104.4,         0
"B2003", 0, 1,    219.737,   -1.4,         0, 2,    220.462, -122.2,         0, 3,    225.435,  119.3,         0, 4,     3.4577, -116.6,         0
"B2815", 0, 1,    198.514,   -3.5,         0, 2,    217.075, -121.4,         0, 3,    212.344,  119.0,         0, 4,    8.27064,  -17.1,         0
"B1733", 0, 1,    198.517,   -3.5,         0, 2,    217.531, -121.4,         0, 3,     212.35,  119.0,         0, 4,      8.396,  -13.9,         0
"B2977", 0, 1,     230.93,    0.0,         0, 2,    230.312, -120.0,         0, 3,    230.933,  120.0,         0, 4,   0.730011,  136.8,         0
"B773", 0, 1,    190.034,   -2.4,         0, 2,    196.119, -121.3,         0, 3,    189.191,  117.6,         0, 4,    2.67336,   19.5,         0
"B3240", 0, 1,    186.693,   -3.0,         0, 2,     192.75, -121.6,         0, 3,    184.741,  117.0,         0, 4,    1.99238,   13.2,         0
"B2297", 0, 1,    186.693,   -3.0,         0, 2,    193.285, -121.6,         0, 3,    184.744,  117.0,         0, 4,    2.38045,   23.2,         0
"B2228", 0, 1,    200.177,   -3.1,         0, 2,    217.773, -121.3,         0, 3,    213.147,  119.0,         0, 4,     7.6522,  -11.2,         0
"B247", 0, 1,    200.177,   -3.1,         0, 2,    217.864, -121.3,         0, 3,    213.148,  119.0,         0, 4,    7.68395,  -10.5,         0
"B276", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B204", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B312", 0, 1,    226.726,   -0.8,         0, 2,    226.001, -120.7,         0, 3,    225.228,  118.9,         0, 4,     1.6397,  139.6,         0
"B754", 0, 1,    226.838,   -0.7,         0, 2,    226.376, -120.6,         0, 3,    225.328,  119.0,         0, 4,    1.86195,  134.3,         0
"B519", 0, 1,    217.819,   -1.3,         0, 2,    215.294, -123.3,         0, 3,    225.659,  119.3,         0, 4,    8.11056, -111.6,         0
"B1653", 0, 1,    230.001,   -0.2,         0, 2,    230.089, -120.2,         0, 3,    230.079,  119.8,         0, 4,    1.09733,  105.9,         0
"B241", 0, 1,    192.257,   -1.9,         0, 2,    199.433, -121.0,         0, 3,    191.576,  118.0,         0, 4,    3.95739,   45.2,         0
"B1139", 0, 1,    218.791,   -1.4,         0, 2,    218.432, -122.6,         0, 3,    225.182,  119.3,         0, 4,    4.99143, -117.4,         0
"B912", 0, 1,    218.799,   -1.4,         0, 2,    218.436, -122.6,         0, 3,    225.493,  119.3,         0, 4,    5.16628, -114.3,         0
"B435", 0, 1,    193.546,   -1.5,         0, 2,    201.279, -120.7,         0, 3,    193.158,  118.2,         0, 4,    4.84333,   52.3,         0
"B3406", 0, 1,    187.044,   -2.9,         0, 2,    193.563, -121.6,         0, 3,     184.91,  117.0,         0, 4,    2.29181,   28.6,         0
"B2669", 0, 1,    187.044,   -2.9,         0, 2,    193.563, -121.6,         0, 3,     184.91,  117.0,         0, 4,    2.29181,   28.6,         0
"B840", 0, 1,    221.962,   -1.3,         0, 2,    224.287, -121.4,         0, 3,    225.864,  119.3,         0, 4,   0.893528, -123.1,         0
"B1491", 0, 1,    221.966,   -1.3,         0, 2,    224.291, -121.4,         0, 3,    226.127,  119.3,         0, 4,    1.02882, -109.5,         0
"B1890", 0, 1,    201.721,   -2.6,         0, 2,    218.481, -121.1,         0, 3,    213.334,  119.0,         0, 4,    7.02809,    4.0,         0
"B1244", 0, 1,    217.293,   -1.3,         0, 2,    214.021, -123.6,         0, 3,    225.703,  119.3,         0, 4,    9.16779, -111.7,         0
"B404", 0, 1,    201.724,   -2.6,         0, 2,    218.481, -121.1,         0, 3,    213.632,  119.0,         0, 4,     7.1958,    2.0,         0
"B2844", 0, 1,    221.966,   -1.3,         0, 2,    224.291, -121.4,         0, 3,    226.127,  119.3,         0, 4,    1.02882, -109.5,         0
"B1503", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B742", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B2652", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B2989", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B30", 0, 1,    226.726,   -0.8,         0, 2,    225.745, -120.7,         0, 3,    225.228,  118.9,         0, 4,    1.58919,  148.5,         0
"B1998", 0, 1,    218.341,   -1.3,         0, 2,     216.43, -123.0,         0, 3,    225.496,  119.3,         0, 4,    7.04328, -114.0,         0
"B3024", 0, 1,    218.349,   -1.4,         0, 2,    216.897, -123.0,         0, 3,    225.489,  119.3,         0, 4,    6.59273, -113.6,         0
"B1842", 0, 1,    193.567,   -1.7,         0, 2,    200.178, -120.8,         0, 3,    191.903,  118.0,         0, 4,    4.06363,   59.3,         0
"B3378", 0, 1,    199.517,   -3.3,         0, 2,    217.124, -121.3,         0, 3,    212.701,  119.0,         0, 4,    7.67717,  -16.5,         0
"B3143", 0, 1,     199.52,   -3.3,         0, 2,     217.69, -121.3,         0, 3,    212.709,  119.0,         0, 4,    7.84005,  -12.3,         0
"B2789", 0, 1,    217.482,   -1.3,         0, 2,    213.374, -123.5,         0, 3,    225.744,  119.3,         0, 4,    9.88366, -112.3,         0
"B1226", 0, 1,    194.336,   -1.5,         0, 2,    201.253, -120.7,         0, 3,    192.166,  118.2,         0, 4,    4.90207,   70.7,         0
"B2015", 0, 1,    199.975,   -3.1,         0, 2,    217.871, -121.3,         0, 3,    213.148,  119.0,         0, 4,    7.87376,  -10.2,         0
"B1547", 0, 1,    227.187,   -0.7,         0, 2,    226.953, -120.5,         0, 3,    225.633,  119.0,         0, 4,    2.07569,  132.7,         0
"B2564", 0, 1,    187.041,   -2.9,         0, 2,     193.56, -121.6,         0, 3,    184.625,  117.0,         0, 4,    2.28944,   35.7,         0
"B528", 0, 1,     201.72,   -2.6,         0, 2,    218.481, -121.1,         0, 3,     213.32,  119.0,         0, 4,    7.02053,    4.1,         0
"B1634", 0, 1,    192.934,   -1.9,         0, 2,    200.245, -120.7,         0, 3,    191.186,  117.9,         0, 4,    4.73172,   59.6,         0
"B625", 0, 1,    226.727,   -0.8,         0, 2,    225.701, -120.7,         0, 3,    225.228,  118.9,         0, 4,     1.5845,  150.0,         0
"B534", 0, 1,    227.442,   -0.6,         0, 2,    227.975, -120.5,         0, 3,     227.19,  119.3,         0, 4,    1.14828,  102.6,         0
"B2399", 0, 1,    218.048,   -2.1,         0, 2,    224.804, -121.2,         0, 3,    222.939,  119.2,         0, 4,    1.38375,  -38.4,         0
"B3178", 0, 1,    218.048,   -2.1,         0, 2,    224.804, -121.2,         0, 3,    222.939,  119.2,         0, 4,    1.38375,  -38.4,         0
"B1315", 0, 1,    217.972,   -1.3,         0, 2,    215.441, -123.2,         0, 3,    225.625,  119.3,         0, 4,    7.98845, -112.2,         0
"B943", 0, 1,    230.036,   -0.2,         0, 2,    230.104, -120.2,         0, 3,    230.093,  119.8,         0, 4,    1.10648,  105.8,         0
"B3269", 0, 1,    216.958,   -1.4,         0, 2,    214.314, -123.6,         0, 3,    225.403,  119.3,         0, 4,    8.53037, -111.2,         0
"B553", 0, 1,    193.938,   -1.6,         0, 2,    200.846, -120.7,         0, 3,    192.048,  118.1,         0, 4,    4.55081,   65.5,         0
"B1905", 0, 1,    198.573,   -3.3,         0, 2,    217.745, -121.3,         0, 3,    212.512,  119.0,         0, 4,    8.51239,  -10.5,         0
"B2108", 0, 1,    199.396,   -3.3,         0, 2,    217.719, -121.3,         0, 3,    212.514,  119.0,         0, 4,    7.74308,  -11.6,         0
"B2364", 0, 1,    219.742,   -1.4,         0, 2,    220.465, -122.2,         0, 3,    225.683,  119.3,         0, 4,    3.59664, -113.1,         0
"B61", 0, 1,     189.05,   -2.6,         0, 2,    196.763, -121.3,         0, 3,    187.988,  117.4,         0, 4,    3.75355,   33.2,         0
"B541", 0, 1,    197.872,   -3.7,         0, 2,    217.155, -121.4,         0, 3,    212.027,  119.0,         0, 4,    8.59805,  -16.8,         0
"B1091", 0, 1,    219.005,   -1.4,         0, 2,    218.955, -122.5,         0, 3,    225.523,  119.3,         0, 4,    4.73217, -114.3,         0
"B1077", 0, 1,    227.158,   -0.7,         0, 2,    226.887, -120.5,         0, 3,    225.393,  119.0,         0, 4,     2.3673,  136.1,         0
"B2768", 0, 1,    227.158,   -0.7,         0, 2,    226.887, -120.5,         0, 3,    225.393,  119.0,         0, 4,     2.3673,  136.1,         0
